affiliate_product_row_id,affiliate_product_id,name,brand,retailer,department,category,category_level_1,category_level_2,category_level_3,category_path,description,availability,affiliate_condition,price_currency,price_msrp,price_sale,size,original_color,primary_hex_color,primary_color_family,material,pattern,original_product_category,attr_color,attr_size,attr_fabric,attr_print,attr_occasion,attr_neckline,attr_sleeve_length,attr_sleeve_shape,attr_length,attr_waist,attr_inseam,attr_leg_shape,attr_shaft_height,attr_heel_height,attr_heel_shape,attr_toe_shape,attr_closure,attr_layer,image_filename
108,APL-ATHLETIC-1551301,Techloom Breeze Sneakers,APL: Athletic Propulsion Labs,Shopbop,WOMEN,Sneakers,Footwear,Sneakers,,Footwear > Sneakers,"APL: Athletic Propulsion Labs' refined take on the sneaker. It is cut from stretchy fabric, in peppermint/energy/white, a flat (<1 in) heel. Styled for active.",IN_STOCK,NEW,USD,200,150,7.5,Peppermint/Energy/White,#F2D337,Yellow,Stretchy,Solid,Footwear > Sneakers,Yellow,7.5,Stretchy,Solid,Active,,,,,,,,,Flat (<1 in),Flat,Round,,,techloom-breeze-sneakers.jpg
109,DR-BARBARA-S-4875832,The Better B - Niacinamide Serum,Dr. Barbara Sturm,Shopbop,UNISEX,Skincare,Beauty,Skincare,,Beauty > Skincare,Dr. Barbara Sturm's relaxed take on the skincare beauty pick. It is in no color.,IN_STOCK,NEW,USD,145,130.5,1.0 oz/30 mL,No Color,,,,,Beauty > Skincare,,,,,,,,,,,,,,,,,,,the-better-b-niacinamide-serum.jpg
110,DR-BARBARA-S-4875832-01,The Better B - Niacinamide Serum - string,Dr. Barbara Sturm,Shopbop,UNISEX,Skincare,Beauty,Skincare,,Beauty > Skincare,"Dr. Barbara Sturm's refined take on the skincare beauty pick. It is cut from swim fabric, in string. Styled for everyday.",IN_STOCK,NEW,USD,1.23,1.23,string,string,#85848C,Grey,Swim,Solid,Beauty > Skincare,,,Swim,Solid,Everyday,,,,,,,,,,,,,,the-better-b-niacinamide-serum.jpg
111,SOLID-STRIPE-6514282,The Carson Dress,Solid & Striped,Shopbop,WOMEN,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"Solid & Striped's laid-back take on the sundress. It is cut from knit fabric, in pistachio, finished with a v-neck neckline. Styled for vacation.",IN_STOCK,NEW,USD,198,178.2,XS,Pistachio,#307A4E,Green,Knit,Solid,Dresses > Sundresses,Green,XS,Knit,Solid,Vacation,V-Neck,Sleeveless,,Midi,Mid,,,,,,,,,the-carson-dress.jpg
112,THE-GREAT-2635518,The Sea Trousers.,THE GREAT.,Shopbop,WOMEN,Trousers,Bottoms,Pants,Trousers,Bottoms > Pants > Trousers,"This versatile trousers by THE GREAT. is a closet staple. It is cut from cotton fabric, in cream, an ankle length. Styled for everyday.",IN_STOCK,NEW,USD,265,238.5,0,Cream,#F0E5D8,Cream,Cotton,Solid,Bottoms > Pants > Trousers,Cream,0,Cotton,Solid,Everyday,,,,Ankle,High,Cropped (<27 in),Wide Leg,,,,,Button,,the-sea-trousers.jpg
113,ROSIE-ASSOUL-9415170,Thousand-In-One-Ways Sweater,Rosie Assoulin,Shopbop,WOMEN,Pullovers,Tops,Sweaters & Knits,Pullovers,Tops > Sweaters & Knits > Pullovers,"An understated pullover from Rosie Assoulin. It is cut from cotton fabric, in a stripe print, finished with a crew neckline. Styled for everyday.",IN_STOCK,NEW,USD,895,895,S,Rainbow,#CA292E,Red,Cotton,Stripe,Tops > Sweaters & Knits > Pullovers,Multi,L,Cotton,Stripe,Everyday,Crew,Long,,Cropped,High,,,,,,,,,thousand-in-one-ways-sweater.jpg
114,CLU-0106230,Tie-Dye Pullover,Clu,Shopbop,WOMEN,Pullovers,Tops,Sweaters & Knits,Pullovers,Tops > Sweaters & Knits > Pullovers,"This polished pullover by Clu is a closet staple. It is cut from cotton fabric, in multi, finished with a crew neckline. Styled for everyday.",IN_STOCK,NEW,USD,161,112.7,S,Multi,#1A1D1D,Black,Cotton,,Tops > Sweaters & Knits > Pullovers,Multi,S,Cotton,,Everyday,Crew,Long,,Mid,,,,,,,,,Mid 1,tie-dye-pullover.jpg
115,CLU-5825632,Tie-Dye Shorts,Clu,Shopbop,WOMEN,Active,Bottoms,Shorts,Active,Bottoms > Shorts > Active,"This versatile active bottoms by Clu is a closet staple. It is cut from cotton fabric, in multi, finished with a crew neckline. Styled for active.",PREORDER,NEW,USD,150,150,XS,Multi,#CF2F32,Red,Cotton,,Bottoms > Shorts > Active,Multi,L,Cotton,,Active,Crew,Sleeveless,Straight,Short,Mid,Short (<6 in),Straight Leg,Ankle,Flat (<1 in),Flat,Round,Button,Base,tie-dye-shorts.jpg
116,SZ-BLOCKPRIN-4186472,Tier Dress,SZ Blockprints,Shopbop,WOMEN,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"SZ Blockprints' laid-back take on the sundress. It is cut from cotton fabric, in a check print, finished with a v-neck neckline. Styled for vacation.",BACKORDER,NEW,USD,185,111,S,Gingham Print in Stem Green,#2E7C3E,Green,Cotton,Check,Dresses > Sundresses,Green,S,Cotton,Check,Vacation,V-Neck,Sleeveless,,Midi,Mid,,,,,,,,,tier-dress.jpg
117,SZ-BLOCKPRIN-4186472-01,Tier Dress - Stem Green,SZ Blockprints,Shopbop,WOMEN,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"SZ Blockprints' modern take on the sundress. It is cut from cotton fabric, in a check print, finished with a v-neck neckline. Styled for vacation.",IN_STOCK,NEW,USD,92.5,74,S,Stem Green,#2A8646,Green,Cotton,Check,Dresses > Sundresses,Green,S,Cotton,Check,Vacation,V-Neck,Sleeveless,,Midi,Mid,,,,,,,,,tier-dress.jpg
118,SPLITS59-7135323,Tilda Sweatshirt,Splits59,Shopbop,WOMEN,Sweatshirts,Tops,Sweatshirts,,Tops > Sweatshirts,"Splits59's structured take on the sweatshirt. It is cut from cotton fabric, in a check print, finished with a crew neckline. Styled for active.",IN_STOCK,NEW,USD,124,99.2,XS,Vintage White/Army Check,#FFF9F3,White,Cotton,Check,Tops > Sweatshirts,White,XS,Cotton,Check,Active,Crew,Long,,Mid,,,,,,,,,,tilda-sweatshirt.jpg
119,SPLITS59-7135323-01,Tilda Sweatshirt - Vintage White/Army Check,Splits59,Shopbop,WOMEN,Sweatshirts,Tops,Sweatshirts,,Tops > Sweatshirts,"Splits59's structured take on the sweatshirt. It is cut from cotton fabric, in a check print, finished with a crew neckline. Styled for active.",OUT_OF_STOCK,NEW,USD,124,105.4,S,Vintage White/Army Check,#F1F7FC,White,Cotton,Check,Tops > Sweatshirts,White,S,Cotton,Check,Active,Crew,Long,,Midi,,,,,,,,,,tilda-sweatshirt.jpg
120,VANS-2477184,UA Classic Slip On Sneakers,Vans,Shopbop,WOMEN,Sneakers,Footwear,Sneakers,,Footwear > Sneakers,"This elevated sneaker by Vans is a closet staple. It is cut from cotton fabric, in a check print, a flat (<1 in) heel. Styled for active.",IN_STOCK,NEW,USD,50,35,7.5,Black & White Checkerboard,#FFFFF4,White,Cotton,Check,Footwear > Sneakers,White,7.5,Cotton,Check,Active,,,,,,,,,Flat (<1 in),Flat,Round,,,ua-classic-slip-on-sneakers.jpg
121,VANS-2477184-01,UA Classic Slip On Sneakers - Black & White Checkerboard,Vans,Shopbop,WOMEN,Sneakers,Footwear,Sneakers,,Footwear > Sneakers,"Vans' elevated take on the sneaker. It is cut from cotton fabric, in a check print, a flat (<1 in) heel. Styled for everyday.",OUT_OF_STOCK,NEW,USD,50,50,5,Black & White Checkerboard,#F5EFED,White,Cotton,Check,Footwear > Sneakers,White,5,Cotton,Check,Everyday,,,,,,,,,Flat (<1 in),Flat,Round,,,ua-classic-slip-on-sneakers.jpg
122,WARDROBE-NYC-6895055,Utility Pant,WARDROBE.NYC,Shopbop,WOMEN,Sweatpants,Bottoms,Pants,Sweatpants,Bottoms > Pants > Sweatpants,"WARDROBE.NYC's structured take on the sweatpant. It is cut from stretchy fabric, in black, an ankle length. Styled for lounge.",IN_STOCK,NEW,USD,500,500,XS,Black,#15201C,Black,Stretchy,Solid,Bottoms > Pants > Sweatpants,Black,XS,Stretchy,Solid,Lounge,,,,Ankle,Mid,Regular (30 in - 33 in),Jogger,,,,,,,utility-pant.jpg
123,VINCE-4929779,Washed Cotton Shorts,Vince,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"An elevated tailored bottoms from Vince. It is cut from cotton fabric, in cocoon, a short length. Styled for everyday.",IN_STOCK,NEW,USD,225,225,0,Cocoon,#C4A186,Tan,Cotton,Solid,Bottoms > Shorts > Tailored,Tan,0,Cotton,Solid,Everyday,,,,Short,High,"Knee-Length Short (10""-18"")",,,Medium (2 in - 3 in),Block,Square,,,washed-cotton-shorts.jpg
124,VINCE-4929779-01,Washed Cotton Shorts - Coastal,Vince,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"A relaxed tailored bottoms from Vince. It is cut from cotton fabric, in coastal, a short length. Styled for everyday.",IN_STOCK,NEW,USD,225,225,0,Coastal,#294FB1,Blue,Cotton,Solid,Bottoms > Shorts > Tailored,Blue,0,Cotton,Solid,Everyday,,,,Short,Mid,Short (<6 in),,,,,,,,washed-cotton-shorts.jpg
125,BA-SH-5633300,Wilam Cardigan,ba&sh,Shopbop,WOMEN,Cardigans,Tops,Sweaters & Knits,Cardigans,Tops > Sweaters & Knits > Cardigans,"A refined cardigan from ba&sh. It is cut from cotton fabric, in blanc, finished with a v-neck neckline. Styled for everyday.",IN_STOCK,NEW,USD,250,250,1,Blanc,#FAF7EF,White,Cotton,Solid,Tops > Sweaters & Knits > Cardigans,White,L,Cotton,Solid,Everyday,V-Neck,Long,Straight,,Mid,,,,,,,Button,Mid 1,wilam-cardigan.jpg
126,AEYDE-5847582,Wilma Laminated Nappa Leather Silver Sandals,AEYDE,Shopbop,WOMEN,Strappy,Footwear,Sandals,Strappy,Footwear > Sandals > Strappy,"AEYDE's structured take on the strappy shoe. It is cut from leather fabric, in silver, a medium (2 in - 3 in) heel. Styled for everyday.",IN_STOCK,NEW,USD,345,345,37.5,Silver,#BCBDC7,Silver,Leather,Solid,Footwear > Sandals > Strappy,Silver,37.5,Leather,Solid,Everyday,,,,,,,,,Medium (2 in - 3 in),Block,Open,Buckle,,wilma-laminated-nappa-leather-silver-sandals.jpg
127,AEYDE-5847582-01,Wilma Laminated Nappa Leather Silver Sandals - Silver,AEYDE,Shopbop,WOMEN,Strappy,Footwear,Sandals,Strappy,Footwear > Sandals > Strappy,"An understated strappy shoe from AEYDE. It is cut from leather fabric, in silver, sleeveless sleeves.",IN_STOCK,NEW,USD,345,293.25,38,Silver,#BBCBCF,Silver,Leather,Solid,Footwear > Sandals > Strappy,Silver,38,Leather,Solid,,,Sleeveless,,,,,,,Low (1 in - 2 in),Block,Open,Buckle,,wilma-laminated-nappa-leather-silver-sandals.jpg
128,AEYDE-5847582-02,Wilma Laminated Nappa Leather Silver Sandals - Silver,AEYDE,Shopbop,WOMEN,Strappy,Footwear,Sandals,Strappy,Footwear > Sandals > Strappy,"An understated strappy shoe from AEYDE. It is cut from leather fabric, in silver, a low (1 in - 2 in) heel.",IN_STOCK,NEW,USD,1.23,1.23,,Silver,#BFBDCE,Silver,Leather,Solid,Footwear > Sandals > Strappy,Silver,,Leather,Solid,,,,,,,,,,Low (1 in - 2 in),Block,Open,,,wilma-laminated-nappa-leather-silver-sandals.jpg
129,GIA-BORGHINI-3818005,x Pernille Teisbaek 80MM Sandals,Gia Borghini,Shopbop,WOMEN,Strappy,Footwear,Sandals,Strappy,Footwear > Sandals > Strappy,"A structured strappy shoe from Gia Borghini. It is cut from leather fabric, in nude brown, a high (>3 in) heel.",IN_STOCK,NEW,USD,425,361.25,38,Nude Brown,#724F32,Brown,Leather,Solid,Footwear > Sandals > Strappy,Brown,38,Leather,Solid,,,,,,,,,,High (>3 in),Skinny,Square,,,x-pernille-teisbaek-80mm-sandals.jpg
